id,code,name,user_type_id,chart_template_id/id,reconcile
account_52201003,52201003,ค่าจัดการสถานที่(จัดอบรมสัมมนาใน ปท.),Expenses,nxpo_coa.chart,FALSE
account_52201004,52201004,ค่าเบี้ยเลี้ยงจัดสัมมนา(จัดอบรมสัมมนาใน ปท.),Expenses,nxpo_coa.chart,FALSE
account_52201005,52201005,ค่าตั๋วเครื่องบิน(จัดอบรมสัมมนาใน ปท.),Expenses,nxpo_coa.chart,FALSE
account_52201006,52201006,ค่าพาหนะ(จัดอบรมสัมมนาใน ปท.),Expenses,nxpo_coa.chart,FALSE
account_52201007,52201007,ค่าที่พัก(จัดอบรมสัมมนาใน ปท.),Expenses,nxpo_coa.chart,FALSE
account_52201008,52201008,ค่าวัสดุหนังสือ วารสาร และตำรา(จัดอบรมสัมมนาใน ปท.),Expenses,nxpo_coa.chart,FALSE
account_52201009,52201009,ค่าวัสดุที่ใช้ในการอบรม(จัดอบรมสัมมนาใน ปท.),Expenses,nxpo_coa.chart,FALSE
account_52201010,52201010,ค่าโฆษณา/สื่อสิ่งพิมพ์/ผลิตสื่อ (จัดอบรมสัมมนาใน ปท.),Expenses,nxpo_coa.chart,FALSE
account_52201011,52201011,ค่าเช่าอุปกรณ์(จัดอบรมสัมมนาใน ปท.),Expenses,nxpo_coa.chart,FALSE
account_52201012,52201012,ค่าอาหารเครื่องดื่ม(จัดอบรมสัมมนาใน ปท.),Expenses,nxpo_coa.chart,FALSE
account_52201013,52201013,ค่าของที่ระลึก ของรางวัล (จัดอบรมสัมมนาใน ปท.),Expenses,nxpo_coa.chart,FALSE
account_52201014,52201014,ค่าจ้าง Outsource(จัดอบรมสัมมนาในประเทศ),Expenses,nxpo_coa.chart,FALSE
account_52201015,52201015,ค่าบริการที่จอดรถ(จัดอบรมสัมมนาใน ปท.),Expenses,nxpo_coa.chart,FALSE
account_52201090,52201090,ค่าใช้จ่ายอื่น(จัดอบรมสัมมนาใน ปท.),Expenses,nxpo_coa.chart,FALSE
account_52202000,52202000,ค่าจัดฝึกอบรมและสัมมนาต่างประเทศ,Expenses,nxpo_coa.chart,FALSE
account_52202001,52202001,ค่าวิทยากร พิธีกร และล่าม(บุคคลภายนอก)(จัดอบรมสัมมนา ตปท.),Expenses,nxpo_coa.chart,FALSE
account_52202002,52202002,ค่าวิทยากร พิธีกร และล่าม(บุคคลภายใน)(จัดอบรมสัมมนา ตปท.),Expenses,nxpo_coa.chart,FALSE
account_52202003,52202003,ค่าจัดการสถานที่ (จัดอบรมสัมมนา ตปท.),Expenses,nxpo_coa.chart,FALSE
account_52202004,52202004,ค่าเบี้ยเลี้ยงจัดสัมมนา(จัดอบรมสัมมนา ตปท.),Expenses,nxpo_coa.chart,FALSE
account_52202005,52202005,ค่าตั๋วเครื่องบิน(จัดอบรมสัมมนา ตปท.),Expenses,nxpo_coa.chart,FALSE
account_52202006,52202006,ค่าพาหนะ (จัดอบรมสัมมนา ตปท.),Expenses,nxpo_coa.chart,FALSE
account_52202007,52202007,ค่าที่พัก (จัดอบรมสัมมนา ตปท.),Expenses,nxpo_coa.chart,FALSE
account_52202008,52202008,ค่าวัสดุหนังสือ วารสาร และตำรา (จัดอบรมสัมมนา ตปท.),Expenses,nxpo_coa.chart,FALSE
account_52202009,52202009,ค่าวัสดุที่ใช้ในการอบรม(จัดอบรมสัมมนา ตปท.),Expenses,nxpo_coa.chart,FALSE
account_52202010,52202010,ค่าโฆษณา/สื่อสิ่งพิมพ์/ผลิตสื่อ (จัดอบรมสัมมนา ตปท.),Expenses,nxpo_coa.chart,FALSE
account_52202011,52202011,ค่าเช่าอุปกรณ์(จัดอบรมสัมมนา ตปท.),Expenses,nxpo_coa.chart,FALSE
account_52202012,52202012,ค่าอาหารเครื่องดื่ม(จัดอบรมสัมมนา ตปท.),Expenses,nxpo_coa.chart,FALSE
account_52202013,52202013,ค่าของที่ระลึก ของรางวัล(จัดอบรมสัมมนา ตปท.),Expenses,nxpo_coa.chart,FALSE
account_52202014,52202014,ค่าจ้าง Outsource(จัดอบรมสัมมนาในต่างประเทศ),Expenses,nxpo_coa.chart,FALSE
account_52202015,52202015,ค่าพาหนะอื่นๆภายในประเทศ(จัดอบรมสัมมนา ตปท.),Expenses,nxpo_coa.chart,FALSE
account_52202016,52202016,ค่าลงทะเบียน(จัดอบรมสัมมนา ตปท.),Expenses,nxpo_coa.chart,FALSE
account_52202090,52202090,ค่าใช้จ่ายอื่น(จัดอบรมสัมมนา ตปท.),Expenses,nxpo_coa.chart,FALSE
account_52203000,52203000,ค่าใช้จ่ายในการไปปฎิบัติงานนอกสถานที่ ในประเทศ,Expenses,nxpo_coa.chart,FALSE
account_52203001,52203001,ตั๋วเครื่องบิน(ปฎิบัติงานใน ปท.),Expenses,nxpo_coa.chart,FALSE
account_52203002,52203002,ค่าพาหนะอื่น ๆ(ปฎิบัติงานใน ปท.),Expenses,nxpo_coa.chart,FALSE
account_52203003,52203003,ค่าเบี้ยเลี้ยง(ปฎิบัติงานใน ปท.),Expenses,nxpo_coa.chart,FALSE
